Ref,Val,Package,PosX,PosY,Rot,Side
"","","",50.500000,-44.500000,180.000000,bottom
"","","",64.000000,-31.000000,180.000000,bottom
"","","",50.500000,-31.000000,180.000000,bottom
"","","",64.000000,-44.500000,180.000000,bottom
"C1","100nF","C_1206_3216Metric",204.000000,-51.850000,90.000000,bottom
"C2","100nF","C_1206_3216Metric",89.750000,-51.850000,90.000000,bottom
"C3","100nF","C_1206_3216Metric",203.950000,-70.700000,90.000000,bottom
"C4","100nF","C_1206_3216Metric",89.800000,-70.900000,90.000000,bottom
"C5","100nF","C_1206_3216Metric",213.450000,-89.950000,90.000000,bottom
"C6","100nF","C_1206_3216Metric",223.100000,-128.050000,90.000000,bottom
"C7","100nF","C_1206_3216Metric",213.450000,-109.000000,90.000000,bottom
"C8","100nF","C_1206_3216Metric",99.200000,-108.850000,90.000000,bottom
"C9","100nF","C_1206_3216Metric",99.250000,-89.950000,90.000000,bottom
"C10","100nF","C_1206_3216Metric",108.700000,-128.050000,90.000000,bottom
"C11","100nF","C_1206_3216Metric",248.850000,-146.525000,90.000000,bottom
"C12","100nF","C_1206_3216Metric",96.750000,-147.050000,90.000000,bottom
"D1","D","D_SOD123",69.000000,-62.650000,90.000000,bottom
"D2","D_Rev","D_SOD123_Rev",88.050000,-62.650000,90.000000,bottom
"D3","D","D_SOD123",107.100000,-62.650000,90.000000,bottom
"D4","D_Rev","D_SOD123_Rev",126.150000,-62.650000,90.000000,bottom
"D5","D","D_SOD123",145.200000,-62.650000,90.000000,bottom
"D6","D_Rev","D_SOD123_Rev",164.250000,-62.650000,90.000000,bottom
"D7","D","D_SOD123",183.300000,-62.650000,90.000000,bottom
"D8","D_Rev","D_SOD123_Rev",202.350000,-62.650000,90.000000,bottom
"D9","D","D_SOD123",221.400000,-62.650000,90.000000,bottom
"D10","D_Rev","D_SOD123_Rev",240.450000,-62.650000,90.000000,bottom
"D11","D","D_SOD123",259.500000,-62.650000,90.000000,bottom
"D12","D_Rev","D_SOD123_Rev",278.550000,-62.650000,90.000000,bottom
"D13","D","D_SOD123",297.600000,-62.650000,90.000000,bottom
"D14","D_Rev","D_SOD123_Rev",316.650000,-62.650000,90.000000,bottom
"D15","D","D_SOD123",335.700000,-62.650000,90.000000,bottom
"D16","D_Rev","D_SOD123_Rev",354.750000,-62.650000,90.000000,bottom
"D17","D","D_SOD123",69.000000,-81.700000,90.000000,bottom
"D18","D_Rev","D_SOD123_Rev",88.050000,-81.700000,90.000000,bottom
"D19","D","D_SOD123",107.100000,-81.700000,90.000000,bottom
"D20","D_Rev","D_SOD123_Rev",126.150000,-81.700000,90.000000,bottom
"D21","D","D_SOD123",145.200000,-81.700000,90.000000,bottom
"D22","D_Rev","D_SOD123_Rev",164.250000,-81.700000,90.000000,bottom
"D23","D","D_SOD123",183.300000,-81.700000,90.000000,bottom
"D24","D_Rev","D_SOD123_Rev",202.350000,-81.700000,90.000000,bottom
"D25","D","D_SOD123",221.400000,-81.700000,90.000000,bottom
"D26","D_Rev","D_SOD123_Rev",240.450000,-81.700000,90.000000,bottom
"D27","D","D_SOD123",259.500000,-81.700000,90.000000,bottom
"D28","D_Rev","D_SOD123_Rev",278.550000,-81.700000,90.000000,bottom
"D29","D","D_SOD123",297.600000,-81.700000,90.000000,bottom
"D30","D_Rev","D_SOD123_Rev",326.175000,-81.700000,90.000000,bottom
"D31","D_Rev","D_SOD123_Rev",354.750000,-81.700000,90.000000,bottom
"D32","D","D_SOD123",73.762500,-100.750000,90.000000,bottom
"D33","D_Rev","D_SOD123_Rev",97.575000,-100.750000,90.000000,bottom
"D34","D","D_SOD123",116.625000,-100.750000,90.000000,bottom
"D35","D_Rev","D_SOD123_Rev",135.675000,-100.750000,90.000000,bottom
"D36","D","D_SOD123",154.725000,-100.750000,90.000000,bottom
"D37","D_Rev","D_SOD123_Rev",173.775000,-100.750000,90.000000,bottom
"D38","D","D_SOD123",192.825000,-100.750000,90.000000,bottom
"D39","D_Rev","D_SOD123_Rev",211.875000,-100.750000,90.000000,bottom
"D40","D","D_SOD123",230.925000,-100.750000,90.000000,bottom
"D41","D_Rev","D_SOD123_Rev",249.975000,-100.750000,90.000000,bottom
"D42","D","D_SOD123",269.025000,-100.750000,90.000000,bottom
"D43","D_Rev","D_SOD123_Rev",288.075000,-100.750000,90.000000,bottom
"D44","D","D_SOD123",307.125000,-100.750000,90.000000,bottom
"D45","D","D_SOD123",330.937500,-100.750000,90.000000,bottom
"D46","D_Rev","D_SOD123_Rev",354.750000,-100.750000,90.000000,bottom
"D47","D","D_SOD123",73.762500,-119.800000,90.000000,bottom
"D48","D_Rev","D_SOD123_Rev",97.575000,-119.800000,90.000000,bottom
"D49","D","D_SOD123",116.625000,-119.800000,90.000000,bottom
"D50","D_Rev","D_SOD123_Rev",135.675000,-119.800000,90.000000,bottom
"D51","D","D_SOD123",154.725000,-119.800000,90.000000,bottom
"D52","D_Rev","D_SOD123_Rev",173.775000,-119.800000,90.000000,bottom
"D53","D","D_SOD123",192.825000,-119.800000,90.000000,bottom
"D54","D_Rev","D_SOD123_Rev",211.875000,-119.800000,90.000000,bottom
"D55","D","D_SOD123",230.925000,-119.800000,90.000000,bottom
"D56","D_Rev","D_SOD123_Rev",249.975000,-119.800000,90.000000,bottom
"D57","D","D_SOD123",269.025000,-119.800000,90.000000,bottom
"D58","D_Rev","D_SOD123_Rev",288.075000,-119.800000,90.000000,bottom
"D59","D_Rev","D_SOD123_Rev",321.412500,-119.800000,90.000000,bottom
"D60","D_Rev","D_SOD123_Rev",354.750000,-119.800000,90.000000,bottom
"D61","D","D_SOD123",78.525000,-138.850000,90.000000,bottom
"D62","D_Rev","D_SOD123_Rev",107.100000,-138.850000,90.000000,bottom
"D63","D","D_SOD123",126.150000,-138.850000,90.000000,bottom
"D64","D_Rev","D_SOD123_Rev",145.200000,-138.850000,90.000000,bottom
"D65","D","D_SOD123",164.250000,-138.850000,90.000000,bottom
"D66","D_Rev","D_SOD123_Rev",183.300000,-138.850000,90.000000,bottom
"D67","D","D_SOD123",202.350000,-138.850000,90.000000,bottom
"D68","D_Rev","D_SOD123_Rev",221.400000,-138.850000,90.000000,bottom
"D69","D","D_SOD123",240.450000,-138.850000,90.000000,bottom
"D70","D_Rev","D_SOD123_Rev",259.500000,-138.850000,90.000000,bottom
"D71","D","D_SOD123",278.550000,-138.850000,90.000000,bottom
"D72","D","D_SOD123",307.125000,-138.850000,90.000000,bottom
"D73","D","D_SOD123",335.700000,-138.850000,90.000000,bottom
"D74","D_Rev","D_SOD123_Rev",354.750000,-138.850000,90.000000,bottom
"D75","D","D_SOD123",71.381250,-157.900000,90.000000,bottom
"D76","D_Rev","D_SOD123_Rev",95.193750,-157.900000,90.000000,bottom
"D77","D","D_SOD123",119.006250,-157.900000,90.000000,bottom
"D78","D_Rev","D_SOD123_Rev",183.300000,-157.900000,90.000000,bottom
"D79","D_Rev","D_SOD123_Rev",247.593750,-157.900000,90.000000,bottom
"D80","D","D_SOD123",271.406250,-157.900000,90.000000,bottom
"D81","D","D_SOD123",295.218750,-157.900000,90.000000,bottom
"D82","D_Rev","D_SOD123_Rev",316.650000,-157.900000,90.000000,bottom
"D83","D","D_SOD123",335.700000,-157.900000,90.000000,bottom
"D84","D_Rev","D_SOD123_Rev",354.750000,-157.900000,90.000000,bottom
"J3","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",58.000000,-81.550000,180.000000,bottom
"LED1","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",76.200000,-51.850000,0.000000,bottom
"LED2","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",95.250000,-51.850000,0.000000,bottom
"LED3","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",114.300000,-51.850000,0.000000,bottom
"LED4","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",133.350000,-51.850000,0.000000,bottom
"LED5","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",152.400000,-51.850000,0.000000,bottom
"LED6","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",171.450000,-51.850000,0.000000,bottom
"LED7","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",190.500000,-51.850000,0.000000,bottom
"LED8","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",209.550000,-51.850000,0.000000,bottom
"LED9","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",228.600000,-51.850000,0.000000,bottom
"LED10","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",247.650000,-51.850000,0.000000,bottom
"LED11","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",266.700000,-51.850000,0.000000,bottom
"LED12","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",285.750000,-51.850000,0.000000,bottom
"LED13","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",304.800000,-51.850000,0.000000,bottom
"LED14","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",323.850000,-51.850000,0.000000,bottom
"LED15","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",342.900000,-51.850000,0.000000,bottom
"LED16","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-51.850000,0.000000,bottom
"LED17","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",76.200000,-70.900000,0.000000,bottom
"LED18","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",95.250000,-70.900000,0.000000,bottom
"LED19","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",114.300000,-70.900000,0.000000,bottom
"LED20","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",133.350000,-70.900000,0.000000,bottom
"LED21","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",152.400000,-70.900000,0.000000,bottom
"LED22","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",171.450000,-70.900000,0.000000,bottom
"LED23","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",190.500000,-70.900000,0.000000,bottom
"LED24","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",209.550000,-70.900000,0.000000,bottom
"LED25","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",228.600000,-70.900000,0.000000,bottom
"LED26","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",247.650000,-70.900000,0.000000,bottom
"LED27","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",266.700000,-70.900000,0.000000,bottom
"LED28","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",285.750000,-70.900000,0.000000,bottom
"LED29","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",304.800000,-70.900000,0.000000,bottom
"LED30","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",333.375000,-70.900000,0.000000,bottom
"LED31","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",361.950000,-70.900000,0.000000,bottom
"LED32","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",80.962500,-89.950000,0.000000,bottom
"LED33","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",104.775000,-89.950000,0.000000,bottom
"LED34","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",123.825000,-89.950000,0.000000,bottom
"LED35","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",142.875000,-89.950000,0.000000,bottom
"LED36","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",161.925000,-89.950000,0.000000,bottom
"LED37","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",180.975000,-89.950000,0.000000,bottom
"LED38","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",200.025000,-89.950000,0.000000,bottom
"LED39","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",219.075000,-89.950000,0.000000,bottom
"LED40","SK6812MINI-E_Rev","LED_SK6812MINI-E_Reversed_PLCC4_3.2x2.8mm_P1.5mm",238.125000,-89.950000,0.000000,bottom
