Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_1206_3216Metric,204,51.85,90,bottom
C2,100nF,C_1206_3216Metric,89.75,51.85,90,bottom
C3,100nF,C_1206_3216Metric,203.95,70.7,90,bottom
C4,100nF,C_1206_3216Metric,89.8,70.9,90,bottom
C5,100nF,C_1206_3216Metric,213.45,89.95,90,bottom
C6,100nF,C_1206_3216Metric,223.1,128.05,90,bottom
C7,100nF,C_1206_3216Metric,213.45,109,90,bottom
C8,100nF,C_1206_3216Metric,99.2,108.85,90,bottom
C9,100nF,C_1206_3216Metric,99.25,89.95,90,bottom
C10,100nF,C_1206_3216Metric,108.7,128.05,90,bottom
C11,100nF,C_1206_3216Metric,248.85,146.525,90,bottom
C12,100nF,C_1206_3216Metric,96.75,147.05,90,bottom
D1,D,D_SOD123,69,62.65,90,bottom
D2,D_Rev,D_SOD123_Rev,88.05,-90,90,bottom
D3,D,D_SOD123,107.1,90,90,bottom
D4,D_Rev,D_SOD123_Rev,126.15,-90,90,bottom
D5,D,D_SOD123,145.2,90,90,bottom
D6,D_Rev,D_SOD123_Rev,164.25,-90,90,bottom
D7,D,D_SOD123,183.3,90,90,bottom
D8,D_Rev,D_SOD123_Rev,202.35,-90,90,bottom
D9,D,D_SOD123,221.4,90,90,bottom
D10,D_Rev,D_SOD123_Rev,240.45,-90,90,bottom
D11,D,D_SOD123,259.5,90,90,bottom
D12,D_Rev,D_SOD123_Rev,278.55,-90,90,bottom
D13,D,D_SOD123,297.6,90,90,bottom
D14,D_Rev,D_SOD123_Rev,316.65,-90,90,bottom
D15,D,D_SOD123,335.7,90,90,bottom
D16,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
D17,D,D_SOD123,69,90,90,bottom
D18,D_Rev,D_SOD123_Rev,88.05,-90,90,bottom
D19,D,D_SOD123,107.1,90,90,bottom
D20,D_Rev,D_SOD123_Rev,126.15,-90,90,bottom
D21,D,D_SOD123,145.2,90,90,bottom
D22,D_Rev,D_SOD123_Rev,164.25,-90,90,bottom
D23,D,D_SOD123,183.3,90,90,bottom
D24,D_Rev,D_SOD123_Rev,202.35,-90,90,bottom
D25,D,D_SOD123,221.4,90,90,bottom
D26,D_Rev,D_SOD123_Rev,240.45,-90,90,bottom
D27,D,D_SOD123,259.5,90,90,bottom
D28,D_Rev,D_SOD123_Rev,278.55,-90,90,bottom
D29,D,D_SOD123,297.6,90,90,bottom
D30,D_Rev,D_SOD123_Rev,326.175,-90,90,bottom
D31,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
D32,D,D_SOD123,73.7625,90,90,bottom
D33,D_Rev,D_SOD123_Rev,97.575,-90,90,bottom
D34,D,D_SOD123,116.625,90,90,bottom
D35,D_Rev,D_SOD123_Rev,135.675,-90,90,bottom
D36,D,D_SOD123,154.725,90,90,bottom
D37,D_Rev,D_SOD123_Rev,173.775,-90,90,bottom
D38,D,D_SOD123,192.825,90,90,bottom
D39,D_Rev,D_SOD123_Rev,211.875,-90,90,bottom
D40,D,D_SOD123,230.925,90,90,bottom
D41,D_Rev,D_SOD123_Rev,249.975,-90,90,bottom
D42,D,D_SOD123,269.025,90,90,bottom
D43,D_Rev,D_SOD123_Rev,288.075,-90,90,bottom
D44,D,D_SOD123,307.125,90,90,bottom
D45,D,D_SOD123,330.9375,90,90,bottom
D46,D_Rev,D_SOD123_Rev,354.75,-90,90,bottom
D47,D,D_SOD123,73.7625,90,90,bottom
D48,D_Rev,D_SOD123_Rev,97.575,-90,90,bottom
D49,D,D_SOD123,116.625,90,90,bottom
D50,D_Rev,D_SOD123_Rev,135.675,-90,90,bottom
D51,D,D_SOD123,154.725,90,90,bottom
D52,D_Rev,D_SOD123_Rev,173.775,-90,90,bottom
D53,D,D_SOD123,192.825,90,90,bottom
D54,D_Rev,D_SOD123_Rev,211.875,-90,90,bottom
D55,D,D_SOD123,230.925,90,90,bottom
D56,D_Rev,D_SOD123_Rev,249.975,-90,90,bottom
D57,D,D_SOD123,269.025,90,90,bottom
D58,D_Rev,D_SOD123_Rev,288.075,-90,90,bottom
